gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912437953	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000529592	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica	Clos	CL			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	K	Herbarium	K000529592	s.n.			CC_BY_4_0		[Gay]			2025-01-09T23:06:01.617Z	StillImage	TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912437945	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000529591	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica	Clos	CL			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	K	Herbarium	K000529591	s.n.			CC_BY_4_0		Gay, C.			2025-01-09T23:06:01.655Z	StillImage	TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912437932	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000529590	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica	Clos	CL			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	K	Herbarium	K000529590	s.n.			CC_BY_4_0		Gay, C.			2025-01-09T23:06:01.954Z	StillImage	TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
912437910	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000529589	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica	Clos	CL			PRESENT		061b4f20-f241-11da-a328-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	K	Herbarium	K000529589	s.n.			CC_BY_4_0		Gay, C.			2025-01-09T23:06:02.466Z	StillImage	TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
814351787	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Cajón del Arroyo del Cruce	Neuquén	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-36.85	-70.26											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431718		Constance, L.		CC_BY_4_0		Boelcke, O.			2025-01-10T23:36:11.737Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351786	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	alto valle de Calmuco	Mendoza	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-36.14	-69.37											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431714		-		CC_BY_4_0		Burkart, A.			2025-01-10T23:36:11.210Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351771	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	El Calafate, Cerro Huiliches	Santa Cruz	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-50.39	-72.31											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	447674		-		CC_BY_4_0		Zuloaga, F. O.			2025-01-10T23:36:12.104Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351770	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR		San Juan	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431721		Martínez S., E.		CC_BY_4_0		Rizzi, -			2025-01-10T23:36:12.025Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351769	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Pque. Nacional Nahuel Huapi, faldeos Cerro Meta.	Río Negro	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862	-41.43	-71.55											6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431719		Constance, L.		CC_BY_4_0		Boelcke, O.			2025-01-10T23:36:11.736Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
814351768	f5de707d-eba1-4f1a-b1df-1a7fa27b1bc7		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Azorella	Azorella madreporica		SPECIES	Azorella madreporica Clos	Azorella madreporica Clos		AR	Parque Nacional Nahuel Huapi, faldeos Cerro Meta.	Río Negro	PRESENT		b6f05cf0-43ce-11d9-8439-b8a03c50a862													6026493	6026493	PRESERVED_SPECIMEN	SI	HERB	431717		Arroyo, S. C.		CC_BY_4_0		Boelcke, O.			2025-01-10T23:36:11.210Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
