species,latitude,longitude
Azorella madreporica,-36.85,-70.26
Azorella madreporica,-36.14,-69.37
Azorella madreporica,-50.39,-72.31
Azorella madreporica,-41.43,-71.55
Azorella madreporica,-29.2,-69.87
Azorella madreporica,-30.949581,-70.697418
Azorella madreporica,-30.949508,-70.697504
Azorella madreporica,-33.317923,-70.261465
Azorella madreporica,-33.317136,-70.260017
Azorella madreporica,-33.317605,-70.260031
Azorella madreporica,-33.344176,-70.253356
Azorella madreporica,-36.72,-70.47
Azorella madreporica,-36.75,-70.53
Azorella madreporica,-36.14,-69.37
Azorella madreporica,-43.02,-71.49
Azorella madreporica,-43.02,-71.49
Azorella madreporica,-41.09,-68.95
Azorella madreporica,-46.63,-70.75
Azorella madreporica,-39.11,-71.09
Azorella madreporica,-38.58,-70.43
Azorella madreporica,-38.02,-70.22
Azorella madreporica,-36.72,-70.47
Azorella madreporica,-36.85,-70.26
Azorella madreporica,-36.75,-70.53
Azorella madreporica,-36.75,-70.53
Azorella madreporica,-29.269864,-70.075185
Azorella madreporica,-33.327349,-70.248982
Azorella madreporica,-33.317024,-70.262512
Azorella madreporica,-33.323638,-70.240109
Azorella madreporica,-33.338417,-70.245797
Azorella madreporica,-33.506839,-70.449399
Azorella madreporica,-33.334022,-70.246583
Azorella madreporica,-32.583,-70.183
Azorella madreporica,-33.22544,-70.270008
Azorella madreporica,-33.329145,-70.245464
Azorella madreporica,-29.329898,-70.343508
Azorella madreporica,-33.329145,-70.245464
Azorella madreporica,-42.815717,-71.265447
Azorella madreporica,-33.14269,-70.375535
Azorella madreporica,-33.149428,-70.366383
Azorella madreporica,-33.1363,-70.381645
Azorella madreporica,-33.288288,-70.220836
Azorella madreporica,-33.233572,-70.307588
Azorella madreporica,-33.318777,-70.266111
Azorella madreporica,-33.316667,-70.25
Azorella madreporica,-29.05,-69.87
Azorella madreporica,-34.18053,-69.70258
Azorella madreporica,-33.8,-70.216667
Azorella madreporica,-50.389722,-72.308611
Azorella madreporica,-30.54583,-70.76639
Azorella madreporica,-30.54583,-70.76639
