Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.30595E-14,0.000000001,0,0.638567438,0,0
1.23427E-13,0.000000003,0,0.621009577,0,0
4.0811E-13,0.00000001,0,0.589684757,0,0
9.46491E-13,0.000000025,0,0.566540303,0,0
3.64891E-12,0.0000001,0,0.531125299,0,0
8.5738E-12,0.00000025,0.000000001,0.505486832,0,0
3.09608E-11,0.000001002,0.000000003,0.462789306,0,0
7.21001E-11,0.000002501,0.000000007,0.43236233,0,0
2.65198E-10,0.00001,0.000000026,0.381783719,0,0
6.37737E-10,0.000025051,0.000000063,0.3471668,0,0
1.26304E-9,0.000050083,0.000000124,0.320131684,0,0
2.59033E-9,0.000100078,0.000000254,0.292996808,0,0
6.26027E-9,0.000250574,0.000000614,0.257382283,0,0
1.28741E-8,0.000500953,0.000001263,0.229349561,0,0
2.87615E-8,0.001000044,0.000002821,0.204209896,0,0
7.66703E-8,0.002503835,0.00000752,0.172984836,0,0
1.62936E-7,0.005010137,0.000015981,0.151137271,0,0
3.93228E-7,0.010003213,0.000038568,0.131484437,0,0
1.13394E-6,0.02504355,0.000111215,0.109537111,0,0
2.38799E-6,0.050106857,0.000234195,0.094573025,0,0
5.58027E-6,0.100333859,0.000547183,0.081005587,0,0
1.09897E-5,0.20054154,0.00107733,0.068435754,0,0
1.72826E-5,0.301257728,0.001693708,0.061252993,0,0
2.43897E-5,0.400224391,0.002389367,0.056564246,0,0
3.06118E-5,0.501638253,0.002998016,0.052873105,0,0
3.86738E-5,0.602200515,0.003786083,0.049980048,0,0
4.53624E-5,0.70334942,0.004439421,0.047585794,0,0
4.91503E-5,0.750559045,0.004809237,0.046588188,0,0
5.11442E-5,0.800742753,0.005003849,0.045590583,0,0
5.57029E-5,0.902838299,0.005448649,0.043695132,0,0
6.04969E-5,1.002137082,0.005916183,0.041999202,0,0
6.70332E-5,1.104091808,0.006553291,0.040403033,0,0
7.27725E-5,1.202433982,0.007112377,0.039006385,0,0
8.04024E-5,1.302530325,0.007855147,0.037709497,0,0
8.75197E-5,1.403837309,0.008547514,0.03651237,0,0
9.39702E-5,1.503278472,0.009174589,0.035415004,0,0
1.19307E-4,1.751166615,0.011633866,0.033120511,0,0
1.33703E-4,2.006384237,0.013028462,0.031125299,0,0
1.43543E-4,2.254703443,0.013980558,0.029329609,0,0
1.63235E-4,2.505163434,0.015883225,0.02773344,0,0
1.76731E-4,2.760774732,0.017185084,0.026237031,0,0
1.91779E-4,3.002852658,0.01863454,0.024940144,0,0
2.15156E-4,3.264625596,0.020882171,0.023643256,0,0
2.39739E-4,3.517170958,0.023240202,0.02254589,0,0
2.77571E-4,3.753158668,0.02685789,0.021648045,0,0
2.97582E-4,4.009356543,0.028766115,0.0207502,0,0
3.24404E-4,4.262457836,0.03131784,0.019952115,0,0
3.46042E-4,4.530921441,0.033371548,0.01915403,0,0
3.64653E-4,4.781075535,0.035134388,0.018455706,0,0
